Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditorUserId,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ParentId,ClosedDate,OwnerDisplayName
45,2,,2016-08-02T16:12:49.850,19,,71,1671,2018-12-09T20:40:29.377,2018-12-09T20:40:29.377,,,,4,,17,,
46,1,71,2016-08-02T16:14:26.350,9,3416,55,55,2016-08-02T16:26:16.990,2018-04-11T18:40:28.327,When did Artificial Intelligence research first start?,history,1,0,3,,,
47,2,,2016-08-02T16:14:29.337,2,,42,,,2016-08-02T16:14:29.337,,,,0,,28,,
48,2,,2016-08-02T16:15:49.970,2,,10,,,2016-08-02T16:15:49.970,,,,0,,42,,
49,2,,2016-08-02T16:16:25.863,14,,4,,,2016-08-02T16:16:25.863,,,,4,,35,,
50,1,138,2016-08-02T16:16:46.797,2,162,8,,,2018-04-11T23:42:57.393,How can generalization error be estimated?,"deep-network,generalization",1,0,,,,
51,2,,2016-08-02T16:16:59.330,5,,33,14723,2018-04-12T02:30:32.837,2018-04-12T02:30:32.837,,,,1,,42,,
52,1,1437,2016-08-02T16:19:30.337,6,531,62,2444,2019-05-10T14:42:23.103,2019-05-10T14:42:23.103,Is it possible to implement reinforcement learning using a neural network?,"neural-networks,reinforcement-learning,deep-rl,function-approximation",2,0,,,,
53,2,,2016-08-02T16:20:03.773,44,,28,2444,2019-06-24T13:24:12.547,2019-06-24T13:24:12.547,,,,0,,35,,
54,1,76,2016-08-02T16:20:40.520,5,131,55,145,2016-08-17T15:54:14.257,2018-04-12T03:37:23.317,Does the recent advent of a Go playing computer represent Artificial Intelligence?,game-theory,4,0,2,,,
55,2,,2016-08-02T16:20:43.177,2,,5,30,2016-08-04T13:57:00.633,2016-08-04T13:57:00.633,,,,0,,35,,
56,2,,2016-08-02T16:20:52.200,10,,10,-1,2017-04-13T12:50:40.850,2016-08-02T16:20:52.200,,,,0,,35,,
57,2,,2016-08-02T16:23:13.273,0,,10,,,2016-08-02T16:23:13.273,,,,0,,17,,
58,1,,2016-08-02T16:25:20.223,7,1531,55,,,2016-08-02T16:38:45.147,Who first coined the term Artificial Intelligence?,history,1,0,1,,,
60,1,1464,2016-08-02T16:27:49.533,11,348,77,,,2018-04-12T02:34:45.870,What are the main problems hindering current AI development?,machine-learning,3,0,1,,,
61,2,,2016-08-02T16:28:29.363,4,,8,8,2016-08-04T21:06:48.983,2016-08-04T21:06:48.983,,,,0,,36,,
62,2,,2016-08-02T16:29:11.850,2,,10,,,2016-08-02T16:29:11.850,,,,0,,28,,
63,1,208,2016-08-02T16:29:24.803,9,160,8,14723,2018-04-11T18:49:51.953,2018-04-11T18:49:51.953,What kind of problems require more than 2 hidden layers?,"deep-network,hidden-layers",1,2,4,,,
64,1,,2016-08-02T16:29:29.207,3,59,55,,,2017-03-15T05:38:48.220,What were the first areas of research and what were some early successes?,history,1,0,,,,
65,2,,2016-08-02T16:30:28.737,10,,46,46,2016-08-02T17:08:34.127,2016-08-02T17:08:34.127,,,,0,,41,,
66,2,,2016-08-02T16:31:24.350,7,,71,71,2016-08-02T16:38:45.147,2016-08-02T16:38:45.147,,,,0,,58,,
67,1,72,2016-08-02T16:31:51.380,3,1909,8,10135,2018-10-18T10:45:09.917,2018-10-18T10:45:09.917,What are the real world uses for SAT solvers?,"models,problem-solving",1,1,1,,,
68,1,,2016-08-02T16:33:52.707,4,142,46,46,2016-08-04T14:50:15.963,2018-04-12T02:34:58.817,What genetic algorithm designs are there that includes models of epigenetics?,genetic-algorithms,2,2,0,,,
69,2,,2016-08-02T16:34:26.163,6,,10,,,2016-08-02T16:34:26.163,,,,0,,54,,
70,1,,2016-08-02T16:38:55.800,21,306,46,46,2016-08-04T15:17:46.150,2018-04-12T02:45:49.627,Is the pattern recognition capability of CNNs limited to image processing?,"deep-network,neural-networks,image-recognition,convolutional-neural-networks",4,4,5,,,
71,2,,2016-08-02T16:39:00.200,8,,8,14723,2018-04-11T18:40:28.327,2018-04-11T18:40:28.327,,,,0,,46,,
72,2,,2016-08-02T16:39:12.377,1,,10,42,2016-08-11T14:54:21.720,2016-08-11T14:54:21.720,,,,1,,67,,
73,2,,2016-08-02T16:40:20.240,8,,75,,,2016-08-02T16:40:20.240,,,,0,,37,,
74,1,141,2016-08-02T16:42:35.817,38,19794,55,2444,2019-06-20T20:32:04.477,2019-06-20T20:32:04.477,What is the difference between strong-AI and weak-AI?,"terminology,definitions,strong-ai,comparison,weak-ai",3,0,13,,,
75,1,,2016-08-02T16:42:53.110,0,95,33,33,2016-08-02T18:00:37.377,2018-07-17T00:07:33.083,What's the state of the art w.r.t research on the legal aspects of Artificial Intelligence?,legal,1,0,,,,
76,2,,2016-08-02T16:43:14.880,7,,28,,,2016-08-02T16:43:14.880,,,,0,,54,,
77,1,131,2016-08-02T16:45:01.487,19,985,55,14723,2018-04-14T01:47:35.577,2018-04-14T01:47:35.577,Is Lisp still being used to tackle AI problems?,"history,programming-languages,lisp",4,0,7,,,
79,2,,2016-08-02T16:45:51.657,3,,33,14723,2018-04-14T02:00:29.083,2018-04-14T02:00:29.083,,,,0,,75,,
80,1,85,2016-08-02T16:46:07.253,9,657,96,4302,2018-10-08T12:45:14.770,2018-10-08T12:45:14.770,Specific requirements of the Turing Test,"intelligence-testing,software-evaluation,turing-test,natural-language-processing",3,0,,,,
81,1,87,2016-08-02T16:49:40.830,6,556,55,2444,2019-06-27T23:44:11.853,2019-06-27T23:46:25.427,What are some examples of statistical AI applied to real-world problems?,"applications,statistical-ai",4,0,0,,,
82,1,,2016-08-02T16:50:15.330,1,77,96,2444,2019-04-05T12:19:34.277,2019-04-05T12:19:34.277,What is the relation between optimality theory and AI?,"neural-networks,applications,comparison",1,1,,,,
83,2,,2016-08-02T16:54:40.380,2,,101,,,2016-08-02T16:54:40.380,,,,0,,1,,
84,1,,2016-08-02T16:55:37.050,12,401,55,14723,2018-04-14T02:03:13.207,2018-12-11T09:53:09.487,Are methods of exhaustive search considered to be AI?,"gaming,search,chess,heuristics",6,3,2,,,
85,2,,2016-08-02T16:59:11.467,9,,97,97,2016-08-02T17:07:15.277,2016-08-02T17:07:15.277,,,,0,,80,,
86,1,93,2016-08-02T16:59:30.683,24,796,8,2444,2019-02-23T22:05:20.793,2019-02-23T22:08:58.833,How is a deep neural network different from other neural networks?,"neural-networks,machine-learning,deep-network,terminology,comparison",2,0,9,,,
87,2,,2016-08-02T16:59:50.293,9,,101,14723,2018-04-12T14:09:57.913,2018-04-12T14:09:57.913,,,,0,,81,,
88,1,2573,2016-08-02T17:01:18.317,3,451,8,4446,2016-12-29T21:05:13.147,2018-04-13T18:06:03.217,Why does unsupervised pre-training help in deep learning?,"deep-learning,unsupervised-learning",1,0,,,,
89,2,,2016-08-02T17:02:05.890,7,,75,75,2016-08-02T17:33:59.340,2016-08-02T17:33:59.340,,,,5,,84,,
91,1,97,2016-08-02T17:04:35.297,15,309,5,2444,2019-06-24T13:10:54.557,2019-06-24T13:10:54.557,Are search engines considered AI?,"machine-learning,philosophy,definitions",1,1,3,,,
92,1,250,2016-08-02T17:05:27.590,61,4438,8,9687,2017-12-16T23:26:18.493,2018-09-06T05:01:12.717,How is it possible that deep neural networks are so easily fooled?,"convolutional-neural-networks,image-recognition,deep-network,computer-vision",9,8,25,,,
93,2,,2016-08-02T17:06:21.223,27,,30,2444,2019-02-23T22:08:58.833,2019-02-23T22:08:58.833,,,,5,,86,,
94,1,132,2016-08-02T17:06:46.317,4,95,8,4709,2018-07-18T10:08:51.063,2018-07-18T10:08:51.063,What is the significance of weights in a feedforward neural network?,"neural-networks,feedforward",1,0,,,,
95,2,,2016-08-02T17:08:48.340,9,,101,2444,2019-02-23T22:08:33.463,2019-02-23T22:08:33.463,,,,0,,86,,
96,1,98,2016-08-02T17:12:58.533,8,167,5,2444,2019-06-23T12:18:37.573,2019-06-24T10:56:42.927,What is a deep neural network?,"machine-learning,deep-learning,terminology,deep-network,definitions",3,0,1,,,
97,2,,2016-08-02T17:15:22.887,21,,33,14723,2018-04-13T18:07:34.777,2018-04-13T18:07:34.777,,,,0,,91,,
98,2,,2016-08-02T17:18:12.383,9,,101,2444,2019-06-24T10:56:42.927,2019-06-24T10:56:42.927,,,,0,,96,,
100,2,,2016-08-02T17:36:52.900,5,,10,5,2016-08-03T15:13:11.603,2016-08-03T15:13:11.603,,,,0,,96,,
101,2,,2016-08-02T17:38:38.237,8,,10,,,2016-08-02T17:38:38.237,,,,0,,84,,
102,2,,2016-08-02T17:42:05.387,2,,33,14723,2018-04-13T03:22:45.343,2018-04-13T03:22:45.343,,,,0,,80,,
103,1,,2016-08-02T17:47:41.750,5,1108,55,,,2018-04-13T18:00:18.307,What are some examples of Classical AI?,classical-ai,1,0,1,,,
104,1,,2016-08-02T17:56:02.743,10,239,46,46,2016-08-02T18:01:01.713,2018-04-13T18:00:00.527,Can artificial intelligence be thought of as optimization?,"optimization,agi",2,0,3,,,
105,2,,2016-08-02T18:12:04.120,8,,70,14723,2018-04-13T18:00:18.307,2018-04-13T18:00:18.307,,,,0,,103,,
106,2,,2016-08-02T18:14:37.117,3,,29,14723,2018-04-12T02:46:33.907,2018-04-12T02:46:33.907,,,,0,,54,,
107,2,,2016-08-02T18:16:43.960,4,,112,1671,2018-04-13T03:20:26.790,2018-04-13T03:20:26.790,,,,0,,81,,
108,1,,2016-08-02T18:17:44.297,6,1641,69,1581,2018-11-13T17:24:41.510,2018-11-18T12:34:56.643,What are the main advantages of using declarative programming languages for building AI?,declarative-programming,2,0,2,,,
109,1,,2016-08-02T18:29:19.443,3,54,33,14723,2018-04-14T02:02:43.383,2018-08-15T22:45:20.830,"Can rule induction be considered a way to ""hybridize"" probabilistic / statistical approaches and symbolic approaches?","gofai,symbolic-computing",1,0,,,,
111,1,134,2016-08-02T18:57:57.550,74,4760,8,2444,2019-06-26T12:44:18.573,2019-06-26T12:44:18.573,How could self-driving cars make ethical decisions about who to kill?,"philosophy,ethics,autonomous-vehicles,decision-theory",13,1,20,,,
112,1,,2016-08-02T18:59:44.230,6,965,8,14723,2018-04-13T18:53:56.720,2019-06-29T15:24:10.747,Which machine learning algorithm is used in self-driving cars?,"deep-network,algorithm,self-driving",4,0,,,,
113,1,,2016-08-02T19:02:33.003,8,588,127,2444,2019-05-02T16:09:44.820,2019-05-02T16:09:44.820,What's the difference between hyperbolic tangent and sigmoid neurons?,"neural-networks,machine-learning,deep-network,comparison,hidden-layers",2,0,1,,,
114,2,,2016-08-02T19:02:42.300,23,,75,-1,2017-04-13T12:47:29.797,2016-08-02T19:02:42.300,,,,2,,36,,
115,2,,2016-08-02T19:14:12.347,1,,52,,,2016-08-02T19:14:12.347,,,,0,,77,,
116,2,,2016-08-02T19:16:46.910,4,,66,,,2016-08-02T19:16:46.910,,,,0,,108,,
117,2,,2016-08-02T19:18:06.670,10,,10,,,2016-08-02T19:18:06.670,,,,0,,104,,
118,1,122,2016-08-02T19:22:20.577,8,354,29,-1,2017-04-13T12:53:10.013,2016-08-02T20:10:13.770,How can fuzzy logic be used in creating AI?,fuzzy-logic,2,0,1,,,
119,2,,2016-08-02T19:28:00.640,3,,10,,,2016-08-02T19:28:00.640,,,,0,,113,,
120,1,125,2016-08-02T19:31:01.370,4,156,29,,,2016-08-02T19:49:46.050,How does Lucas's argument work?,"philosophy,incompleteness-theorems",2,0,1,,,
121,2,,2016-08-02T19:34:16.217,2,,10,10,2016-08-02T20:10:13.770,2016-08-02T20:10:13.770,,,,1,,118,,
122,2,,2016-08-02T19:34:26.923,10,,66,,,2016-08-02T19:34:26.923,,,,0,,118,,
123,1,,2016-08-02T19:42:07.160,10,356,66,14723,2018-05-01T13:00:54.623,2018-05-01T13:00:54.623,Does the Chinese Room argument hold against AI?,"philosophy,chinese-room-argument",4,0,2,,,
124,2,,2016-08-02T19:46:58.277,2,,10,,,2016-08-02T19:46:58.277,,,,0,,120,,
125,2,,2016-08-02T19:49:46.050,3,,66,,,2016-08-02T19:49:46.050,,,,0,,120,,
126,2,,2016-08-02T19:51:31.490,2,,148,29,2016-08-11T10:38:18.247,2016-08-11T10:38:18.247,,,,0,,123,,
127,2,,2016-08-02T19:52:48.540,5,,10,,,2016-08-02T19:52:48.540,,,,0,,123,,
128,2,,2016-08-02T19:53:45.877,5,,29,,,2016-08-02T19:53:45.877,,,,1,,123,,
129,2,,2016-08-02T19:57:51.270,6,,10,14723,2018-04-12T02:34:58.817,2018-04-12T02:34:58.817,,,,4,,68,,
130,1,135,2016-08-02T19:58:28.117,2,49,8,,,2016-08-02T20:12:35.360,What are the main differences between Deep Boltzmann Machines and Deep Belief Network?,boltzmann-machine,1,0,,,,
131,2,,2016-08-02T20:01:05.593,8,,130,-1,2017-05-23T12:39:33.010,2016-08-04T00:21:27.440,,,,0,,77,,
132,2,,2016-08-02T20:01:55.600,5,,143,75,2018-04-13T18:16:38.963,2018-04-13T18:16:38.963,,,,0,,94,,
134,2,,2016-08-02T20:10:47.850,49,,75,2989,2016-10-14T09:49:20.523,2016-10-14T09:49:20.523,,,,10,,111,,
135,2,,2016-08-02T20:12:35.360,3,,29,,,2016-08-02T20:12:35.360,,,,0,,130,,
136,1,,2016-08-02T20:15:22.637,1,102,8,1671,2018-08-24T19:01:12.483,2018-08-24T19:01:12.483,Number of input variables for a cellular automaton (was: Squares or hexagonal?),"evolutionary-algorithms,topology,efficiency",0,5,2,,,
137,2,,2016-08-02T20:16:42.047,4,,149,,,2016-08-02T20:16:42.047,,,,1,,123,,
138,2,,2016-08-02T20:32:12.480,6,,144,14723,2018-04-11T23:42:57.393,2018-04-11T23:42:57.393,,,,0,,50,,
139,2,,2016-08-02T20:37:36.760,5,,71,2444,2018-11-18T12:34:56.643,2018-11-18T12:34:56.643,,,,0,,108,,
140,1,144,2016-08-02T20:37:59.927,8,160,29,2444,2019-06-25T21:16:52.410,2019-06-25T21:16:52.410,Does this argument refuting the existence of superintelligence work?,"philosophy,superintelligence",3,2,1,,,
141,2,,2016-08-02T20:48:24.037,31,,149,,,2016-08-02T20:48:24.037,,,,1,,74,,
142,2,,2016-08-02T20:57:51.603,6,,143,14723,2018-04-12T02:34:26.373,2018-04-12T02:34:26.373,,,,0,,16,,
143,2,,2016-08-02T21:01:10.770,4,,144,,,2016-08-02T21:01:10.770,,,,0,,28,,
144,2,,2/8/16 21:06,2,,152,29,2016-08-05T13:35:09.893,2016-08-05T13:35:09.893,,,,1,,140,,
145,1,,2016-08-02T21:10:26.693,11,1533,144,2444,2019-04-19T15:13:02.567,2019-04-19T15:13:02.567,What is the relevance of AIXI on current artificial intelligence research?,"models,agi,aixi",3,0,4,,,
146,1,,2016-08-02T21:14:36.133,3,242,144,,,2016-08-03T08:22:36.737,In what ways can connectionist A.I. be integrated with GOFAI?,"neural-networks,classical-ai,gofai,symbolic-computing",1,0,,,,
147,1,,2016-08-02T21:15:34.483,2,230,159,,,2016-09-03T17:38:06.577,Can we ever achieve hypercomputation using recurrent neural networks?,"neural-networks,hypercomputation,recurrent-neural-networks",2,1,1,,,
148,1,170,2016-08-02T21:16:44.013,17,671,55,10,2016-08-03T18:33:16.540,2019-03-06T11:00:52.413,"What limits, if any, does the halting problem put on Artificial Intelligence?",halting-problem,2,0,6,,,
149,2,,2016-08-02T21:18:16.763,1,,75,-1,2017-04-13T12:53:10.013,2016-08-02T21:18:16.763,,,,6,,140,,
151,1,,2016-08-02T21:25:25.313,1,39,8,,,2016-08-02T21:25:25.313,"Can DeepDream produce a ""dream"" from 3 images?","convolutional-neural-networks,deepdream",0,2,1,,,
152,1,1728,2016-08-02T21:34:32.107,7,430,8,145,2016-08-18T13:24:43.510,2018-04-15T04:16:38.293,Why is the generation of deep style images so slow and resource-hungry?,"performance,neural-doodle,deepdreaming",2,0,,,,
153,1,,2016-08-02T21:36:28.053,9,1724,144,7496,2017-06-17T21:22:44.503,2017-06-17T21:22:44.503,Can autoencoders be used for supervised learning?,neural-networks,2,2,2,,,
154,1,158,2016-08-02T21:37:32.420,23,13000,8,8,2017-03-09T17:03:38.327,2019-01-22T18:45:30.140,Is it possible to train the neural network to solve math equations?,"neural-networks,math",5,2,12,,,
155,2,,2016-08-02T21:57:56.160,8,,46,,,2016-08-02T21:57:56.160,,,,0,,154,,
156,1,,2016-08-02T21:59:01.093,17,1134,144,,,2016-10-14T13:08:35.790,Are there any computational models of mirror neurons?,"neural-networks,models",3,0,9,,,
157,1,267,2016-08-02T22:38:50.823,8,113,46,4302,2018-10-08T12:44:30.960,2018-10-08T12:44:30.960,What artificial intelligence strategies are useful for summarization?,"algorithm,natural-language-processing,pattern-recognition",1,0,0,,,
158,2,,2016-08-02T22:50:52.560,20,,109,8,2018-09-20T22:37:16.240,2018-09-20T22:37:16.240,,,,2,,154,,
159,1,238,2016-08-02T23:01:56.157,1,354,8,14723,2018-04-14T18:06:52.290,2018-04-14T18:06:52.290,Is it possible to apply deep dream technique for the audio streams?,"convolutional-neural-networks,deepdreaming",1,0,,,,
161,2,,2016-08-02T23:31:57.630,12,,130,-1,2017-04-13T12:53:10.013,2016-08-04T00:19:36.570,,,,2,,111,,
162,2,,2016-08-02T23:44:57.983,6,,46,,,2016-08-02T23:44:57.983,,,,0,,111,,
163,2,,2016-08-02T23:56:02.343,6,,143,14723,2018-04-12T02:23:00.733,2018-04-12T02:23:00.733,,,,0,,13,,
164,2,,2016-08-03T00:16:14.550,4,,169,,,2016-08-03T00:16:14.550,,,,0,,77,,
165,2,,2016-08-03T00:40:35.383,0,,130,14723,2018-04-15T04:14:15.697,2018-04-15T04:14:15.697,,,,3,,140,,
166,2,,2016-08-03T01:08:53.837,6,,156,,,2016-08-03T01:08:53.837,,,,1,,77,,
167,1,174,2016-08-03T01:55:30.377,4,140,8,145,2016-08-18T11:34:48.770,2016-08-18T11:34:48.770,Why would neural network dream scenes mirror the hallucinations people experience when they're tripping?,"convolutional-neural-networks,deepdream,computer-vision,deepdreaming",1,0,,,,
169,1,176,2016-08-03T02:12:37.943,1,52,8,8,2016-08-06T00:07:31.233,2016-08-06T00:07:31.233,What are the challenges for recognising the handwritten characters?,"quantum-computing,handwritten-characters,ocr",1,0,2,,,
170,2,,2016-08-03T02:17:01.983,8,,10,,,2016-08-03T02:17:01.983,,,,1,,148,,
171,2,,2016-08-03T02:23:28.267,8,,10,,,2016-08-03T02:23:28.267,,,,0,,74,,
172,1,,2016-08-03T03:33:35.193,2,76,104,2444,2019-06-20T20:43:42.113,2019-06-20T20:48:44.383,Could AIs self-develop in the future?,philosophy,3,0,2,,,
173,2,,2016-08-03T04:22:28.030,11,,130,169,2016-08-03T18:25:39.313,2016-08-03T18:25:39.313,,,,1,,148,,
174,2,,2016-08-03T04:27:10.673,7,,10,-1,2017-04-13T12:56:17.300,2016-08-03T04:27:10.673,,,,0,,167,,
176,2,,2016-08-03T04:41:50.923,6,,130,,,2016-08-03T04:41:50.923,,,,0,,169,,
177,2,,2016-08-03T04:48:19.643,6,,70,8,2018-04-11T16:39:24.943,2018-04-11T16:39:24.943,,,,2,,26,,
178,2,,2016-08-03T04:52:30.067,2,,130,2444,2019-06-20T20:46:22.590,2019-06-20T20:46:22.590,,,,1,,172,,
179,1,,2016-08-03T05:15:39.443,6,585,70,-1,2017-04-13T12:53:10.013,2016-08-26T18:17:40.033,How can the multiple intelligences model be incorporated into AI?,"emotional-intelligence,new-ai",2,0,,,,
180,1,,2016-08-03T05:23:01.403,2,67,202,2444,2019-04-16T22:11:59.630,2019-04-16T22:11:59.630,How can we build word embeddings for a language?,"natural-language-processing,algorithm,word-embedding",0,1,,,2016-11-10T22:25:54.347,
182,1,183,2016-08-03T05:31:30.353,13,218,202,1671,2017-10-18T20:19:03.600,2017-10-20T02:11:25.050,Optimal number of layers in a neural network?,"neural-networks,hidden-layers",2,0,4,,,
183,2,,2016-08-03T05:35:48.807,8,,101,,,2016-08-03T05:35:48.807,,,,7,,182,,
184,1,,2016-08-03T06:03:28.903,4,45,70,70,2016-09-02T21:11:12.350,2016-09-02T21:11:12.350,Are there emergent models of time in robots?,"knowledge-representation,time,embodied-cognition",1,7,2,,,
185,2,,2016-08-03T06:10:03.807,2,,29,2444,2019-06-20T20:48:44.383,2019-06-20T20:48:44.383,,,,1,,172,,
186,1,,2016-08-03T06:20:12.393,4,1032,55,,,2016-08-07T23:34:29.837,Does a quantum computer resolve the halting problem and would that advance strong AI?,"quantum-computing,halting-problem,strong-ai",2,5,1,,2016-08-15T03:28:50.017,
187,2,,2016-08-03T06:37:01.983,1,,70,-1,2017-04-13T12:53:10.013,2016-08-03T06:37:01.983,,,,0,,37,,
